chr1	start1	chr2	start2	n_contacts	truth_top_state	truth_top_count	posterior_top_state	posterior_pmax	posterior_margin	whole_chrom_pred_state	whole_chrom_correct_contacts	chr_pair_oracle_correct_contacts	nearest_geometry_state	nearest_geometry_correct_contacts	same_cross_correct_contacts	truth_state_distance_rank	posterior_top1_distance_rank	posterior_top1_distance_gap	nearest_geometry_state	best_relative_flip_chr2
chr1	9000000	chr11	87000000	4	10	4	10	0.6103459	NA	10	4	0	10	4	4	1	1	3.39126087	10	1
chr1	9000000	chr11	88000000	2	10	2	10	0.689511538	NA	10	2	0	10	2	2	1	1	3.57762643	10	1
chr1	10000000	chr11	7000000	3	00	3	00	0.643878043	NA	00	3	0	00	3	3	1	1	1.87364742	00	1
chr1	11000000	chr11	8000000	5	00	5	00	0.995551109	NA	00	5	0	00	5	5	1	1	3.34284145	00	1
chr1	11000000	chr11	7000000	9	00	9	00	0.992937982	NA	00	9	0	00	9	9	1	1	3.31191828	00	1
chr1	11000000	chr11	44000000	3	00	3	00	0.97309643	NA	00	3	0	00	3	3	1	1	3.60561829	00	1
chr1	11000000	chr11	43000000	1	00	1	00	0.988973081	NA	00	1	0	00	1	1	1	1	4.11161289	00	1
chr1	12000000	chr11	44000000	2	00	2	00	0.699942052	NA	00	2	0	00	2	2	1	1	3.39045093	00	1
chr1	13000000	chr11	4000000	3	00	3	00	0.959243476	NA	00	3	0	00	3	3	1	1	2.3219111	00	1
chr1	16000000	chr11	4000000	1	00	1	00	0.836143017	NA	00	1	0	00	1	1	1	1	2.12702864	00	1
chr1	16000000	chr11	44000000	1	00	1	00	0.905443013	NA	00	1	0	00	1	1	1	1	2.96352957	00	1
chr1	16000000	chr11	13000000	2	00	2	00	0.875630558	NA	00	2	0	00	2	2	1	1	1.97699939	00	1
chr1	16000000	chr11	43000000	1	00	1	00	0.929112971	NA	00	1	0	00	1	1	1	1	3.54213319	00	1
chr1	17000000	chr11	44000000	7	00	7	00	0.990139425	NA	00	7	0	00	7	7	1	1	3.34342537	00	1
chr1	17000000	chr11	13000000	11	00	11	00	0.993191659	NA	00	11	0	00	11	11	1	1	2.48162975	00	1
chr1	17000000	chr11	11000000	5	00	5	00	0.976273537	NA	00	5	0	00	5	5	1	1	2.28029634	00	1
chr1	17000000	chr11	14000000	4	00	4	00	0.973085046	NA	00	4	0	00	4	4	1	1	2.74402252	00	1
chr1	17000000	chr11	43000000	1	00	1	00	0.978192151	NA	00	1	0	00	1	1	1	1	3.91750103	00	1
chr1	17000000	chr11	12000000	4	00	4	00	0.926009178	NA	00	4	0	00	4	4	1	1	2.61640624	00	1
chr1	17000000	chr11	9000000	1	00	1	00	0.659079254	NA	00	1	0	00	1	1	1	1	2.11866741	00	1
chr1	17000000	chr11	8000000	1	00	1	00	0.806028605	NA	00	1	0	00	1	1	1	1	2.42652665	00	1
chr1	57000000	chr11	4000000	8	00	8	01	0.647283018	NA	01	0	8	01	0	0	2	1	0.790905382	01	1
chr1	58000000	chr11	4000000	6	00	5	00	0.601148427	NA	00	5	1	00	5	5	1	1	0.221035535	00	1
chr1	58000000	chr11	60000000	2	00	2	00	0.608922958	NA	00	2	0	00	2	2	1	1	0.638425027	00	1
chr1	58000000	chr11	61000000	9	00	9	00	0.822295249	NA	00	9	0	00	9	9	1	1	0.953898146	00	1
chr1	59000000	chr11	60000000	2	00	2	00	0.564097762	NA	00	2	0	00	2	2	1	1	0.20429352	00	1
chr1	59000000	chr11	61000000	8	00	8	00	0.714497387	NA	00	8	0	00	8	8	1	1	0.469290739	00	1
