policy	scope	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_accuracy	decoded_contact_fraction	scope_contact_fraction_vs_baseline	construction_uses_phase_labels	construction_uses_charm_or_reference	eval_only_uses_phase_labels_for_scoring
baseline	genome_all	350034	162783	0.46504911	0.78126982	0	1	0	0	1
baseline	genome_cis	206057	117377	0.569633645	0.96956182	0	1	0	0	1
baseline	genome_trans	143977	45406	0.315369816	0.511790078	0	1	0	0	1
hybrid_lambda0.25	genome_all	350034	161922	0.462589348	0.781281247	0.992580721	1	0	0	1
hybrid_lambda0.25	genome_cis	206057	116480	0.565280481	0.969590938	0.999204104	1	0	0	1
hybrid_lambda0.25	genome_trans	143977	45442	0.315619856	0.511776186	0.983101468	1	0	0	1
hybrid_lambda0.5	genome_all	350034	162030	0.46289789	0.781312672	0.992580721	1	0	0	1
hybrid_lambda0.5	genome_cis	206057	116488	0.565319305	0.969586085	0.999204104	1	0	0	1
hybrid_lambda0.5	genome_trans	143977	45542	0.316314411	0.511859533	0.983101468	1	0	0	1
hybrid_lambda0.75	genome_all	350034	162031	0.462900747	0.781164115	0.992580721	1	0	0	1
hybrid_lambda0.75	genome_cis	206057	116491	0.565333864	0.969586085	0.999204104	1	0	0	1
hybrid_lambda0.75	genome_trans	143977	45540	0.31630052	0.511498364	0.983101468	1	0	0	1
hybrid_lambda1	genome_all	350034	162092	0.463075016	0.781241251	0.992580721	1	0	0	1
hybrid_lambda1	genome_cis	206057	116504	0.565396953	0.969586085	0.999204104	1	0	0	1
hybrid_lambda1	genome_trans	143977	45588	0.316633907	0.511685894	0.983101468	1	0	0	1
readgroup_only	genome_all	347437	161379	0.464484209	0.783221131	1	0.992580721	0	0	1
readgroup_only	genome_cis	205893	116455	0.565609321	0.969799847	1	0.999204104	0	0	1
readgroup_only	genome_trans	141544	44924	0.317385407	0.511819646	1	0.983101468	0	0	1
