chr1	start1	chr2	start2	n_contacts	truth_top_state	truth_top_count	posterior_top_state	posterior_pmax	posterior_margin	whole_chrom_pred_state	whole_chrom_correct_contacts	chr_pair_oracle_correct_contacts	nearest_geometry_state	nearest_geometry_correct_contacts	same_cross_correct_contacts	truth_state_distance_rank	posterior_top1_distance_rank	posterior_top1_distance_gap	nearest_geometry_state	best_relative_flip_chr2
chr1	9000000	chr11	87000000	4	10	4	10	0.6103459	NA	10	4	0	10	4	4	1	1	3.47504929	10	1
chr1	9000000	chr11	88000000	2	10	2	10	0.689511538	NA	10	2	0	10	2	2	1	1	3.61018816	10	1
chr1	10000000	chr11	7000000	3	00	3	00	0.643878043	NA	00	3	0	00	3	3	1	1	2.05400859	00	1
chr1	11000000	chr11	8000000	5	00	5	00	0.995551109	NA	00	5	0	00	5	5	1	1	3.47499016	00	1
chr1	11000000	chr11	7000000	9	00	9	00	0.992937982	NA	00	9	0	00	9	9	1	1	3.19810467	00	1
chr1	11000000	chr11	44000000	3	00	3	00	0.97309643	NA	00	3	0	00	3	3	1	1	3.5931763	00	1
chr1	11000000	chr11	43000000	1	00	1	00	0.988973081	NA	00	1	0	00	1	1	1	1	4.09218678	00	1
chr1	12000000	chr11	44000000	2	00	2	00	0.699942052	NA	00	2	0	00	2	2	1	1	3.3533495	00	1
chr1	13000000	chr11	4000000	3	00	3	00	0.959243476	NA	00	3	0	00	3	3	1	1	2.4321632	00	1
chr1	16000000	chr11	4000000	1	00	1	00	0.836143017	NA	00	1	0	00	1	1	1	1	2.20014412	00	1
chr1	16000000	chr11	44000000	1	00	1	00	0.905443013	NA	00	1	0	00	1	1	1	1	2.8546084	00	1
chr1	16000000	chr11	13000000	2	00	2	00	0.875630558	NA	00	2	0	00	2	2	1	1	2.11343889	00	1
chr1	16000000	chr11	43000000	1	00	1	00	0.929112971	NA	00	1	0	00	1	1	1	1	3.44723052	00	1
chr1	17000000	chr11	44000000	7	00	7	00	0.990139425	NA	00	7	0	00	7	7	1	1	3.27647365	00	1
chr1	17000000	chr11	13000000	11	00	11	00	0.993191659	NA	00	11	0	00	11	11	1	1	2.70453363	00	1
chr1	17000000	chr11	11000000	5	00	5	00	0.976273537	NA	00	5	0	00	5	5	1	1	2.46759288	00	1
chr1	17000000	chr11	14000000	4	00	4	00	0.973085046	NA	00	4	0	00	4	4	1	1	3.09192734	00	1
chr1	17000000	chr11	43000000	1	00	1	00	0.978192151	NA	00	1	0	00	1	1	1	1	3.86324964	00	1
chr1	17000000	chr11	12000000	4	00	4	00	0.926009178	NA	00	4	0	00	4	4	1	1	3.03380277	00	1
chr1	17000000	chr11	9000000	1	00	1	00	0.659079254	NA	00	1	0	00	1	1	1	1	2.46676185	00	1
chr1	17000000	chr11	8000000	1	00	1	00	0.806028605	NA	00	1	0	00	1	1	1	1	2.58741563	00	1
chr1	57000000	chr11	4000000	8	00	8	01	0.647283018	NA	01	0	8	01	0	0	2	1	0.801629776	01	1
chr1	58000000	chr11	4000000	6	00	5	00	0.601148427	NA	00	5	1	00	5	5	1	1	0.24600198	00	1
chr1	58000000	chr11	60000000	2	00	2	00	0.608922958	NA	00	2	0	00	2	2	1	1	0.458624204	00	1
chr1	58000000	chr11	61000000	9	00	9	00	0.822295249	NA	00	9	0	00	9	9	1	1	0.82163782	00	1
chr1	59000000	chr11	60000000	2	00	2	00	0.564097762	NA	00	2	0	00	2	2	1	1	0.00884872131	00	1
chr1	59000000	chr11	61000000	8	00	8	00	0.714497387	NA	00	8	0	00	8	8	1	1	0.331435225	00	1
chr1	68000000	chr11	15000000	3	00	3	00	0.508321166	NA	00	3	0	00	3	3	1	1	0.181633438	00	1
chr1	68000000	chr11	14000000	9	00	9	00	0.560884953	NA	00	9	0	00	9	9	1	1	0.596925751	00	1
chr1	72000000	chr11	14000000	4	00	4	01	0.800435245	NA	01	0	4	01	0	0	2	1	1.19786316	01	1
chr1	73000000	chr11	14000000	4	00	3	01	0.800725222	NA	01	0	3	01	0	1	2	1	1.30188541	01	1
chr1	73000000	chr11	18000000	2	00	2	01	0.632137895	NA	01	0	2	01	0	0	2	1	1.84053091	01	1
chr1	73000000	chr11	19000000	1	00	1	01	0.645475149	NA	01	0	1	01	0	0	2	1	2.55042091	01	1
chr1	74000000	chr11	5000000	4	00	3	01	0.996978879	NA	01	0	3	01	0	0	2	1	2.60708771	01	1
chr1	74000000	chr11	16000000	1	00	1	01	0.685820758	NA	01	0	1	01	0	0	2	1	3.27103003	01	1
chr1	74000000	chr11	14000000	1	00	1	01	0.992699921	NA	01	0	1	01	0	0	2	1	2.41875859	01	1
chr1	74000000	chr11	18000000	4	00	4	01	0.987686932	NA	01	0	4	01	0	0	2	1	3.17682642	01	1
chr1	74000000	chr11	19000000	1	00	1	01	0.807257116	NA	01	0	1	01	0	0	2	1	3.30037242	01	1
chr1	74000000	chr11	3000000	8	00	8	01	0.999380708	NA	01	0	8	01	0	0	2	1	2.66918014	01	1
chr1	74000000	chr11	4000000	14	00	14	01	0.995928228	NA	01	0	14	01	0	0	2	1	2.26408968	01	1
chr1	74000000	chr11	62000000	2	00	1	01	0.564223766	NA	01	0	1	01	0	0	2	1	2.19370891	01	1
chr1	74000000	chr11	15000000	2	00	1	01	0.942721367	NA	01	0	1	01	0	1	2	1	2.97009451	01	1
chr1	75000000	chr11	4000000	3	00	3	01	0.852250695	NA	01	0	3	01	0	0	2	1	1.42528348	01	1
chr1	77000000	chr11	4000000	3	00	3	01	0.82234025	NA	01	0	3	01	0	0	2	1	1.15882981	01	1
chr1	123000000	chr11	14000000	1	00	1	01	0.874290526	NA	01	0	1	01	0	0	2	1	2.24334406	01	1
chr1	123000000	chr11	18000000	3	00	3	01	0.940161169	NA	01	0	3	01	0	0	2	1	2.62398711	01	1
chr1	124000000	chr11	14000000	10	00	10	01	0.992160141	NA	01	0	10	01	0	0	2	1	2.95216068	01	1
chr1	124000000	chr11	15000000	4	00	4	01	0.922846377	NA	01	0	4	01	0	0	2	1	3.52694637	01	1
chr1	155000000	chr11	118000000	4	00	4	01	0.543422282	NA	01	0	4	01	0	0	2	1	0.596705118	01	1
chr1	156000000	chr11	118000000	33	00	33	01	0.985785544	NA	01	0	33	01	0	0	2	1	2.86862836	01	1
chr1	156000000	chr11	119000000	12	00	12	01	0.905741096	NA	01	0	12	01	0	0	2	1	2.85307339	01	1
chr1	157000000	chr11	118000000	7	00	7	01	0.980935574	NA	01	0	7	01	0	0	3	1	4.04909469	01	1
chr1	157000000	chr11	119000000	1	00	1	01	0.896790862	NA	01	0	1	01	0	0	3	1	3.80804212	01	1
chr1	162000000	chr11	20000000	1	01	1	01	0.753387213	NA	01	1	0	01	1	1	1	1	2.74193763	01	1
chr1	162000000	chr11	18000000	3	00	3	01	0.884326756	NA	01	0	3	01	0	0	2	1	2.67871036	01	1
chr1	162000000	chr11	46000000	1	00	1	01	0.411956191	NA	01	0	1	01	0	0	2	1	0.779776126	01	1
