field	value	notes
logical_experiment_id	057	requested scientific label
formal_test_res_sequence	assigned_at_packaging	packager creates a new non-overwriting sequence
resolution_bp	1000000	P9016 and synthetic final resolution
evaluated_phase_contacts	350034	double-end phase plus coordinate overlap
pairs_sha256	071a6cc76bfad543ea1ace6ee1ce3022b30ac1b1e50a9f0c3a3a1967b9649505	blind source; phase read only here
reference_sha256	1ca82ef4785bc800d9b7ca5fadafa8de9ff028d5f5e0df41183ad087217cea29	ORACLE coordinates
oracle_mstep_source	/work/phase3/hickit/test_res/083-20260713_111134-p9016_phased_hickit_oracle_gate_1m	hash-closed native Hickit phase-known experiment 083
oracle_mstep_source_summary_sha256	387d5419f03c69ec2fdffb36a39c48bbccbce1e588d0e9b1f67d0f8ee920946f	imported evidence
057B_status	COMPLETE_THREE_EXPLICIT_ARMS	full mode has three explicit arms; quick mode imports historical joint evidence only
057B_cis_only_arm	RUN_CURRENT_HICKIT_CPU	ORACLE phase; independent input containing cis contacts only
057B_cis_plus_trans_arm	RUN_CURRENT_HICKIT_CPU	ORACLE phase
057B_fixed_cis_trans_placement_arm	RUN_EXPERIMENTAL_RIGID_BODY	cis coordinates immutable; separate from native Hickit
truth_used_in_blind_inference	0	all truth-dependent rows explicitly ORACLE
quick	0	bounded diagnostic mode
057B_backend	cpu	explicit ORACLE-phase M-step provenance
057B_resolution_bp	1000000	explicit ORACLE-phase M-step provenance
057B_seeds	17,29,43	explicit ORACLE-phase M-step provenance
057B_phase_known_input	/work/phase3/hickit/test_res/083-20260713_111134-p9016_phased_hickit_oracle_gate_1m/inputs/train.true_phase.onehot.pairs.gz	explicit ORACLE-phase M-step provenance
057B_phase_known_input_sha256	f1ef31eabbccc12053dbfb46ef0640b599dafe0235732993de788f98cee6af8c	explicit ORACLE-phase M-step provenance
057B_cis_only_input_sha256	7b4c0fe636ffa2c649e1ede6c2cef4605c24ca8a639cd53dc3f5fc766b1a3ba6	explicit ORACLE-phase M-step provenance
057B_n_cis_train_contacts	313956	explicit ORACLE-phase M-step provenance
057B_hickit_binary_sha256	02c2028367d0667a80d23632de35fada2fc6735256ea1374b374eb4d9fa3f22c	explicit ORACLE-phase M-step provenance
057B_commands	/work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 17 -n 1000 -M --fdg-backend=cpu -i results/phase_diagnostics/057/work/057B/train.true_phase.cis_only.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_only_seed17.1m.3dg || /work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 17 -n 1000 -M --fdg-backend=cpu -i /work/phase3/hickit/test_res/083-20260713_111134-p9016_phased_hickit_oracle_gate_1m/inputs/train.true_phase.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_plus_trans_seed17.1m.3dg || /work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 29 -n 1000 -M --fdg-backend=cpu -i results/phase_diagnostics/057/work/057B/train.true_phase.cis_only.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_only_seed29.1m.3dg || /work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 29 -n 1000 -M --fdg-backend=cpu -i /work/phase3/hickit/test_res/083-20260713_111134-p9016_phased_hickit_oracle_gate_1m/inputs/train.true_phase.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_plus_trans_seed29.1m.3dg || /work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 43 -n 1000 -M --fdg-backend=cpu -i results/phase_diagnostics/057/work/057B/train.true_phase.cis_only.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_only_seed43.1m.3dg || /work/phase3/.phase-diagnostics-057-059/hickit --min-leg-dist=0 --dup-dist=0 -P 2 -s 43 -n 1000 -M --fdg-backend=cpu -i /work/phase3/hickit/test_res/083-20260713_111134-p9016_phased_hickit_oracle_gate_1m/inputs/train.true_phase.onehot.pairs.gz -p 1.0 -S -r 1m -c 1 -r 10m -c 5 -b 4m -b 1m -O results/phase_diagnostics/057/work/057B/cis_plus_trans_seed43.1m.3dg	explicit ORACLE-phase M-step provenance
057B_fixed_shape_arm	experimental rigid-body FDG layout; cis coordinates are immutable	explicit ORACLE-phase M-step provenance
