run_id	config_name	status	strict_pairs_only_candidate	boundary_reasons	model_top1_accuracy_genome_trans	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_all	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	input_contact_source	sample	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	readgroup_mode	fixed_posterior	manifest_path	summary_path
047-20260620_082138-p9016_init_coord_anchor_1m	p9016_initanchor_k0p001_seed71_noise0p05_best035	OK	1	OK	0.358585	0.574695	0.485804	0.563729	0.744353	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p001_seed71_noise0p05_best035/p9016_initanchor_k0p001_seed71_noise0p05_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/summary.tsv
047-20260620_082138-p9016_init_coord_anchor_1m	p9016_initanchor_k0p003_seed71_noise0p05_best035	OK	1	OK	0.357981	0.572327	0.484162	0.561902	0.745886	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p003_seed71_noise0p05_best035/p9016_initanchor_k0p003_seed71_noise0p05_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/summary.tsv
047-20260620_082138-p9016_init_coord_anchor_1m	p9016_initanchor_k0p01_seed71_noise0p05_best035	OK	1	OK	0.355918	0.572191	0.483233	0.561874	0.749965	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_k0p01_seed71_noise0p05_best035/p9016_initanchor_k0p01_seed71_noise0p05_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/summary.tsv
048-20260620_092323-p9016_callable_anchor_mstep_1m	p9016_callable_negent_t0p10_m0p05_w10_seed71_best035	OK	1	OK	0.355793	0.573128	0.483733	0.561437	0.747643	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p10_m0p05_w10_seed71_best035/p9016_callable_negent_t0p10_m0p05_w10_seed71_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/summary.tsv
048-20260620_092323-p9016_callable_anchor_mstep_1m	p9016_callable_negent_t0p02_m0p05_w10_seed71_best035	OK	1	OK	0.355737	0.572643	0.483424	0.561159	0.747986	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p02_m0p05_w10_seed71_best035/p9016_callable_negent_t0p02_m0p05_w10_seed71_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/summary.tsv
048-20260620_092323-p9016_callable_anchor_mstep_1m	p9016_callable_negent_t0p10_m0p10_w10_seed71_best035	OK	1	OK	0.355668	0.572725	0.483444	0.561152	0.747764	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p10_m0p10_w10_seed71_best035/p9016_callable_negent_t0p10_m0p10_w10_seed71_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/summary.tsv
047-20260620_082138-p9016_init_coord_anchor_1m	p9016_initanchor_off_seed71_noise0p05_best035	OK	1	OK	0.355661	0.572065	0.483053	0.56111	0.748189	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/outputs/p9016_initanchor_off_seed71_noise0p05_best035/p9016_initanchor_off_seed71_noise0p05_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/047-20260620_082138-p9016_init_coord_anchor_1m/summary.tsv
048-20260620_092323-p9016_callable_anchor_mstep_1m	p9016_callable_anchor_off_seed71_noise0p05_best035	OK	1	OK	0.355661	0.572482	0.483299	0.561208	0.748009	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_anchor_off_seed71_noise0p05_best035/p9016_callable_anchor_off_seed71_noise0p05_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/summary.tsv
049-20260620_103248-p9016_trans_dscale_gamma_1m	p9016_transgamma_g1_td0p5_seed71_best035_replay	OK	1	OK	0.355661	0.572482	0.483299	0.561208	0.748009	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g1_td0p5_seed71_best035_replay/p9016_transgamma_g1_td0p5_seed71_best035_replay/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/summary.tsv
048-20260620_092323-p9016_callable_anchor_mstep_1m	p9016_callable_negent_t0p01_m0p10_w10_seed71_best035	OK	1	OK	0.355647	0.573147	0.483684	0.561312	0.748077	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/outputs/p9016_callable_negent_t0p01_m0p10_w10_seed71_best035/p9016_callable_negent_t0p01_m0p10_w10_seed71_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/048-20260620_092323-p9016_callable_anchor_mstep_1m/summary.tsv
