contact_class	state	regime	n_edges	sum_k	sum_abs_force	sum_endpoint_force_l2	sum_energy	mean_r	median_r	mean_distance	mean_d_scale	mean_prob
cis	00	quadratic_attractive	7310	5912.49317	2383.48177	4766.96354	345.713463	1.70156317	1.68213952	0.642023507	0.378565814	0.886172999
cis	00	repulsive	1106	639.353244	93.146565	186.29313	5.54755472	0.427155633	0.441659457	0.346679302	0.817938108	0.654853061
cis	00	tail_attractive	1484	1149.10155	1435.04756	2870.09511	828.736201	2.36836735	2.22144607	0.814317789	0.346372323	0.90096257
cis	00	zero_force	15046	9465.11202	0	0	0	1.02599464	1.0021252	0.657406722	0.674004115	0.721526187
cis	01	quadratic_attractive	24	13.6376989	6.48773768	12.9754754	1.00703156	1.73786042	1.73810508	0.875034869	0.510229477	0.756981122
cis	01	repulsive	1	0.36710141	0.0756718834	0.151343767	0.00389962676	0.396933271	0.396933271	0.372492922	0.938427059	0.403345466
cis	01	tail_attractive	21	14.2972046	19.2149898	38.4299796	16.660364	2.69098328	2.42081196	0.946002007	0.357175016	0.869454007
cis	01	zero_force	35	14.6896081	0	0	0	1.05382584	1.05416308	1.04802621	1.02852253	0.524230741
cis	10	quadratic_attractive	19	11.6241733	6.42488186	12.8497637	1.12513824	1.77635866	1.83534666	0.882901446	0.503000558	0.792561161
cis	10	tail_attractive	15	9.90213576	13.1112777	26.2225553	10.1085982	2.58924866	2.53120157	1.06994457	0.422180476	0.79775598
cis	10	zero_force	43	19.1678175	0	0	0	1.10560769	1.09839262	0.944334437	0.899516168	0.568886853
cis	11	quadratic_attractive	7668	6174.96551	2587.73294	5175.46587	384.476588	1.7095342	1.6935925	0.653861621	0.384001454	0.892056911
cis	11	repulsive	780	498.605936	80.0893111	160.178622	5.16433534	0.419686765	0.434306248	0.303312191	0.729166742	0.732315231
cis	11	tail_attractive	1902	1450.13712	1806.91599	3613.83198	1022.87091	2.35694219	2.21630661	0.806145353	0.344466392	0.909669201
cis	11	zero_force	11987	8244.78004	0	0	0	1.06414133	1.06160224	0.614927929	0.602114844	0.788706734
trans	00	quadratic_attractive	791	283.065832	132.915289	265.830578	21.434906	1.73477805	1.73874302	1.0266688	0.593188574	0.904442561
trans	00	repulsive	15	5.67156344	0.660472087	1.32094417	0.0321875541	0.441773367	0.441362641	0.312891258	0.726264023	0.894629448
trans	00	tail_attractive	1255	355.386786	481.433388	962.866776	643.062735	3.12769774	2.79311323	1.5465446	0.511654527	0.866594709
trans	00	zero_force	854	291.451921	0	0	0	1.12334789	1.15990669	0.918231868	0.833380422	0.849916262
trans	01	quadratic_attractive	702	268.871063	128.393777	256.787554	20.905643	1.73876459	1.73984724	1.02407366	0.590895552	0.908852727
trans	01	repulsive	19	8.12459669	1.31031389	2.62062778	0.0726757071	0.419361296	0.434379525	0.344434749	0.828392014	0.889646565
trans	01	tail_attractive	1137	337.28558	461.024198	922.048396	698.237824	3.30553402	2.82891549	1.65320449	0.520517206	0.870372769
trans	01	zero_force	782	278.11926	0	0	0	1.11841369	1.1549408	0.870793907	0.796208721	0.862138097
trans	10	quadratic_attractive	832	289.266618	138.577535	277.15507	22.4448692	1.73953254	1.73647578	1.08866199	0.629951871	0.887340234
trans	10	repulsive	14	4.20215052	0.659422804	1.31884561	0.0374724981	0.42153746	0.439238028	0.399795648	0.950728847	0.708191907
trans	10	tail_attractive	1269	389.410426	528.58433	1057.16866	721.364338	3.15678097	2.75876498	1.51456621	0.492121291	0.883888661
trans	10	zero_force	830	276.061968	0	0	0	1.11688503	1.14520569	0.939617335	0.852252794	0.825894014
trans	11	quadratic_attractive	652	213.551779	102.989936	205.979871	16.7987664	1.74113575	1.73562432	1.08457602	0.626044812	0.885065136
trans	11	repulsive	17	7.00377634	1.12867245	2.2573449	0.0809086249	0.419424008	0.436096569	0.329770116	0.799193579	0.854987389
trans	11	tail_attractive	1180	320.095603	439.295776	878.591552	647.392377	3.2750071	2.85824536	1.65885516	0.523477138	0.863803823
trans	11	zero_force	775	217.380221	0	0	0	1.11802628	1.15116864	0.952794293	0.861968899	0.796799776
