source	chrom	n_bins	mean_copy01_separation	median_copy01_separation
charm3dg	chr1	942	8.439091559049531	8.203079127590623
charm3dg	chr2	866	11.966959543107956	12.109730334003437
charm3dg	chr3	781	9.075658707109655	9.080125527488184
charm3dg	chr4	732	15.04158569920701	15.109558867363539
charm3dg	chr5	719	7.388969521166444	7.919228006642238
charm3dg	chr6	727	11.807295364073726	11.794544919260483
charm3dg	chr7	639	5.249709517149117	5.097821101336324
charm3dg	chr8	620	13.117693215341655	13.312056904508434
charm3dg	chr9	599	8.171217281881557	8.176777981768595
charm3dg	chr10	634	7.55181238706422	7.549262090322841
charm3dg	chr11	594	11.73893280407034	11.603977860828397
charm3dg	chr12	548	9.585344382858976	9.701651188079525
charm3dg	chr13	558	6.303494964653138	6.24370220409116
charm3dg	chr14	548	4.643018525277766	4.689152997445319
charm3dg	chr15	484	13.979861578878827	13.825740207204515
charm3dg	chr16	472	7.01171843167234	6.847386420150569
charm3dg	chr17	447	9.480444438928371	9.654722232222003
charm3dg	chr18	437	10.549865486469326	10.438580995480073
charm3dg	chr19	288	5.377462969183371	5.570802798872188
charm3dg	chrX	627	10.958112704365545	10.979401981989882
charm3dg	genome	12262	9.55054279291098	9.40203079147135
reconstruction	chr1	977	10.499453625446437	10.590681818418636
reconstruction	chr2	911	10.775786025462732	10.867374118090973
reconstruction	chr3	800	10.717678105671844	10.88507626000651
reconstruction	chr4	783	9.41932716050787	9.449217204769083
reconstruction	chr5	759	5.8202473464600635	5.293983390593252
reconstruction	chr6	749	9.309590090353403	9.303932732644384
reconstruction	chr7	727	7.369619035701511	7.36876007437283
reconstruction	chr8	647	11.07331731989078	11.214678285482272
reconstruction	chr9	623	4.775511629045519	4.350197457756034
reconstruction	chr10	653	8.689265616420059	8.809694105393383
reconstruction	chr11	610	9.181651589973074	9.035344413924722
reconstruction	chr12	601	5.6775860518140595	4.731104573653875
reconstruction	chr13	602	9.555944261847472	9.74921427186786
reconstruction	chr14	625	10.202183869819065	10.119770996025707
reconstruction	chr15	520	6.143111710931414	5.016352924716532
reconstruction	chr16	491	9.51159734380399	9.588340276100823
reconstruction	chr17	475	7.705003855789077	7.429754812143342
reconstruction	chr18	454	8.643186068132378	8.613058132378349
reconstruction	chr19	307	9.891583712248199	9.84618896303796
reconstruction	chrX	855	8.09101924583166	7.8063677796205955
reconstruction	genome	13169	8.742587179096052	8.80857776561007
