config_name	lambda_copytrack	lambda_global_copytrack	min_sep_unit	lambda_sep	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	delta_trans_vs_baseline	target_plus_0p1_met	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1
p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	0	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	0	0.00100000005	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	0	0.00300000003	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0_gct0p01_ieps0p5_noise0_seed17	0	0.00999999978	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0_gct0p03_ieps0p5_noise0_seed17	0	0.0299999993	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0_gct0p1_ieps0p5_noise0_seed17	0	0.100000001	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p001_gct0_ieps0p5_noise0_seed17	0.00100000005	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p003_gct0_ieps0p5_noise0_seed17	0.00300000003	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p003_gct0p003_ieps0p5_noise0_seed17	0.00300000003	0.00300000003	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p003_gct0p01_ieps0p5_noise0_seed17	0.00300000003	0.00999999978	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p01_gct0_ieps0p5_noise0_seed17	0.00999999978	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p01_gct0p003_ieps0p5_noise0_seed17	0.00999999978	0.00300000003	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p01_gct0p01_ieps0p5_noise0_seed17	0.00999999978	0.00999999978	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p01_gct0p03_ieps0p5_noise0_seed17	0.00999999978	0.0299999993	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p03_gct0_ieps0p5_noise0_seed17	0.0299999993	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p03_gct0p01_ieps0p5_noise0_seed17	0.0299999993	0.00999999978	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
p9016_pcgamma1_sep0_lct0p1_gct0_ieps0p5_noise0_seed17	0.100000001	0	0	0	NA	NA	NA	NA	0	NA	NA	1.32029605	0.95239228	1.00231004	1.00231004	1.00237644	0	0	NA	NA
