config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	resolution_label	refinement_stage	refinement_stage_index	refinement_n_stages	parent_bin_size_bp	refinement_init_source	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_application_point	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_multiseed_best035_seed17_noise0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed17_noise0/p9016_multiseed_best035_seed17_noise0	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed17_noise0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.39646196	0.458484918	11.664156	2.83278489	4.33357096	0.696735561	0.502588511	0	65382.6328	19828.8555	200.546829	0	0	62.5799751	699.746277	126.168045	187.255081	0	0	132794.359	0	0.0052693976	0.00141011322	0	0.481905	0.572055	0.352883	0.79186	0.959016	0.55263	0.769516	2.83278496	4.33357102	0.942044652	0.992948151	0.0015308075	0.0045924225
p9016_multiseed_best035_seed17_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed17_noise0p05/p9016_multiseed_best035_seed17_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed17_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.28375626	0.375790328	11.7648077	2.69662166	4.22094202	0.710712731	0.512670875	0	64894.2773	19634.7441	226.41127	0	0	67.1921082	722.142517	120.4506	182.709015	0	0	131503.438	0	0.00549143451	0.00138938584	0	0.476177	0.570818	0.340728	0.781984	0.95128	0.53969	0.752456	2.69662164	4.22094213	0.936172084	0.992481878	0.00191350938	0.00535782625
p9016_multiseed_best035_seed23_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed23_noise0p05/p9016_multiseed_best035_seed23_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed23_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	23	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.41940737	0.295423239	11.3327694	2.63665986	4.36568117	0.668001294	0.481861055	0	67872.3125	20582.5039	197.422546	0	0	64.058876	716.478149	114.156227	168.472855	0	0	137430.203	0	0.00521339657	0.0012258794	0	0.449842	0.552153	0.303417	0.775856	0.95032	0.526167	0.710717	2.63665975	4.36568101	0.928607575	0.992946427	0.00076540375	0.00688863375
p9016_multiseed_best035_seed31_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed31_noise0p05/p9016_multiseed_best035_seed31_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed31_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	31	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.07705784	0.237134248	8.80668163	2.35090852	4.06384516	0.697113812	0.502861321	0	66594.8672	20261.0254	177.981766	0	0	63.216114	716.691223	106.724739	164.279572	0	0	133537.031	0	0.00536698486	0.00123021735	0	0.470286	0.559539	0.342548	0.773579	0.934698	0.54299	0.725411	2.35090837	4.06384513	0.919147923	0.991287629	0.00535782625	0.0145426713
p9016_multiseed_best035_seed47_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed47_noise0p05/p9016_multiseed_best035_seed47_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed47_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	47	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.26593781	0.422151715	10.3015919	2.41585326	4.28466272	0.685047984	0.494157672	0	66326.8281	20559.002	302.324829	0	0	81.3252029	756.344788	109.777863	167.72966	0	0	135627.266	0	0.00557664259	0.00123669572	0	0.457258	0.55621	0.315641	0.76386	0.938007	0.514624	0.709321	2.41585315	4.2846626	0.92055882	0.99221125	0.00880214313	0.0229621125
p9016_multiseed_best035_seed59_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed59_noise0p05/p9016_multiseed_best035_seed59_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed59_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	59	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.23929834	0.253713846	10.4020281	2.51502442	4.2285223	0.690476596	0.498073578	0	66194.6094	20178.3418	238.620056	0	0	72.2716064	739.336853	103.525803	169.04187	0	0	134289.094	0	0.0055055614	0.00125879075	0	0.448796	0.544806	0.31139	0.771137	0.940366	0.528939	0.704147	2.51502447	4.22852231	0.925897852	0.99211815	0.00612323	0.0114810563
p9016_multiseed_best035_seed71_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed71_noise0p05/p9016_multiseed_best035_seed71_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed71_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.38917112	0.370847613	9.93114376	2.58046293	4.28499222	0.692817748	0.499762356	0	66043.9219	20018.9414	215.225296	0	0	69.0389557	727.163269	123.078049	184.350693	0	0	133196.969	0	0.00545930793	0.00138404571	0	0.483482	0.572808	0.35564	0.7937	0.95608	0.561305	0.748036	2.58046296	4.28499204	0.932842511	0.992605493	0.00344431688	0.00803673938
p9016_multiseed_best035_seed83_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed83_noise0p05/p9016_multiseed_best035_seed83_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed83_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	83	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.30233908	1.01912582	11.6744204	2.47752666	4.24784851	0.694479823	0.500961304	0	67270.5703	20799.1133	227.059174	0	0	69.3660431	744.978577	112.849281	172.303909	0	0	137527.062	0	0.00541695988	0.00125287275	0	0.453039	0.548635	0.316224	0.769554	0.941832	0.522993	0.708704	2.47752667	4.24784828	0.913325051	0.991888977	0.00229621125	0.00803673938
p9016_multiseed_best035_seed97_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_best035_seed97_noise0p05/p9016_multiseed_best035_seed97_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_best035_seed97_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	97	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.16454697	0.749864101	9.89032364	2.06341004	4.18005276	0.6872527	0.495748043	0	68559.0078	21397.8379	387.236481	0	0	84.7924576	779.624329	91.8059311	155.537186	0	0	139002.375	0	0.00560871229	0.00111895344	0	0.436543	0.523981	0.311404	0.757118	0.920071	0.523903	0.630451	2.06341015	4.18005246	0.885824829	0.991608247	0.0045924225	0.0176042863
p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/outputs/p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05/p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	/mnt/ssd/zliu/phase3/test_res/044-20260620_040939-p9016_multiseed_basin_audit_1m/eval/p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	99	f19e7e12ee92a0c2e429a4f8687541de1510528953702fff49bd96aa61e3e8c7	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1703888	1135454	568434	489556	86393	403163	unphased_scaffold_split	17	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.62880898	1.93848681	11.6490965	3.01703	4.51262951	0.628831267	0.45360589	0	74547.6016	23028.3438	85.9846573	0	0	0	0	0	0	0	0	149258.875	0	0	0	0	0.476319	0.575224	0.334769	0.787581	0.96815	0.529154	0.797472	3.01703003	4.51262974	0.953411811	0.993331482	0	0
